iter	MAPE	Quantile:alpha=0.5
781	0.09317437785	0.09173345766
782	0.09309085165	0.09165892421
783	0.09291962015	0.09152987198
784	0.09287177751	0.09147737423
785	0.09282693846	0.09143619519
786	0.0927011729	0.09133637334
787	0.09266587297	0.09127820806
788	0.09261844364	0.09122987198
789	0.09252682195	0.09114138231
790	0.09250108122	0.09110748645
791	0.09243277515	0.09102786009
792	0.09231100681	0.09092155568
793	0.09221683265	0.09083715203
794	0.09218430426	0.09079094425
795	0.09213933856	0.09073583297
796	0.09211991203	0.09070416636
797	0.09205716445	0.09059683322
798	0.09198907999	0.09054447832
799	0.09194888397	0.09047769879
800	0.09188186919	0.09039189619
801	0.09162349003	0.09019498786
802	0.09156104474	0.09013439441
803	0.09151354997	0.09008564113
804	0.09145305213	0.08999931321
805	0.09126548148	0.08985849707
806	0.09118109656	0.089766298
807	0.09115356647	0.08972598533
808	0.09104953335	0.08962909822
809	0.09100770542	0.08954595025
810	0.09091029742	0.08946090762
811	0.0908383102	0.08939082973
812	0.09071013759	0.08928626536
813	0.09066803558	0.08923911041
814	0.0906065104	0.08918092516
815	0.09054804051	0.08910976131
816	0.09050397972	0.08903408596
817	0.09044371366	0.08897851443
818	0.09025462332	0.08882618511
819	0.09018737988	0.08874709253
820	0.09015499404	0.08871346
821	0.09012180257	0.08866181667
822	0.09003239978	0.08857083064
823	0.08986631089	0.0884399043
824	0.08982731555	0.08838029083
825	0.08977544131	0.08829855663
826	0.089721516	0.08822713515
827	0.08970556627	0.08820699566
828	0.08964266551	0.08815419744
829	0.08951459439	0.08806572128
830	0.08946374118	0.08800296739
831	0.08938302073	0.08793062189
832	0.0893619551	0.08790137684
833	0.08927669793	0.08782968004
834	0.08926798067	0.08781377395
835	0.08925296932	0.08778621272
836	0.08919550816	0.08770560539
837	0.08912916859	0.08765200182
838	0.08904779657	0.08758485795
839	0.08902878081	0.08755870148
840	0.08882549078	0.08740666106
841	0.08859055519	0.08722079466
842	0.0885336675	0.08712739534
843	0.08845787404	0.087050591
844	0.08834857142	0.08692256939
845	0.08827282684	0.0868313104
846	0.08821847708	0.08677861288
847	0.08818297134	0.08673233017
848	0.08804701593	0.08658407839
849	0.0880189733	0.08654883039
